No se encontro solucion intercambiando
Iteracion_mejor_solucion_intercambiar;tiempo;ruta;coste;numero_vehiculos_usados
9;0.005;0 21 22 20 23 24 10 7 5 1 2 3 8 11 6 0 0 9 12 16 14 13 15 19 17 18 25 0 0 4 0 ;247.823;3
Numero_iteracion;tiempo;ruta;coste;numero_vehiculos_usados
0;0.001;0 22 20 24 25 10 7 3 4 1 5 2 9 6 0 0 23 8 21 17 13 15 16 12 14 0 0 19 18 11 0 ;309.062;3
1;0.001;0 22 25 24 21 20 23 7 5 1 4 6 8 11 0 0 9 10 2 13 15 16 19 14 12 3 0 0 18 17 0 ;284.717;3
2;0.002;0 22 21 20 23 25 11 10 8 9 4 3 5 7 6 0 0 1 2 15 16 14 13 18 19 24 17 0 0 12 0 ;329.481;3
3;0.002;0 21 23 22 25 24 11 10 7 4 3 6 5 2 0 0 1 9 13 18 15 14 12 16 8 20 0 0 17 19 0 ;293.448;3
4;0.003;0 21 20 25 24 10 7 3 4 1 2 6 8 0 0 5 11 23 22 17 18 15 16 19 13 0 0 12 9 14 0 ;325.592;3
5;0.003;0 21 20 22 25 10 8 7 4 5 3 2 9 0 0 24 11 13 18 17 15 16 14 12 6 0 0 23 19 1 0 ;289.869;3
6;0.004;0 22 21 20 23 10 7 4 5 3 1 6 9 11 13 18 0 0 25 8 17 15 19 16 12 14 2 0 0 24 0 ;277.662;3
7;0.004;0 20 21 22 24 25 23 11 8 9 7 4 1 5 3 0 0 2 6 10 17 15 16 14 12 18 0 0 19 13 0 ;270.454;3
8;0.005;0 20 21 25 22 10 11 8 9 4 3 7 1 6 0 0 23 24 5 17 13 15 14 19 12 16 18 0 0 2 0 ;276.593;3
9;0.005;0 21 22 20 23 24 10 7 5 1 2 3 8 11 6 0 0 9 12 16 14 13 15 19 17 18 25 0 0 4 0 ;247.823;3
Tiempo total: 0.005 segundos
